Year,District,Plant Month,Crop,Rainfall(mm),Temperature(C),Humidity(%),Soil pH,Growing Days,Harvest Month,Harvest Price(LKR/kg)
2015,Anuradhapura,December,Maize,187,25.7,91,5.7,100,March,200.08
2015,Anuradhapura,January,Pumpkin,162,29.2,79,6.4,120,May,151.39
2015,Anuradhapura,February,Pumpkin,87,22.9,67,6.3,120,June,114.87
2015,Anuradhapura,March,Pumpkin,118,26.5,78,6.4,120,July,127.97
2015,Anuradhapura,April,Pumpkin,287,32.7,75,6.3,120,August,117.15
2015,Anuradhapura,May,Pumpkin,137,32,92,6.8,120,September,116.47
2015,Anuradhapura,June,Pumpkin,75,23.6,86,6.1,120,October,171.17
2015,Anuradhapura,July,Pumpkin,176,30.7,78,6.7,120,November,175.35
2015,Anuradhapura,August,Pumpkin,290,31.2,88,6.4,120,December,133.99
2015,Anuradhapura,September,Pumpkin,318,24.9,80,7,120,January,187.39
2015,Anuradhapura,October,Pumpkin,162,27.4,74,7,120,February,139.51
2015,Anuradhapura,November,Pumpkin,202,29.7,84,6.2,120,March,160.75
2015,Anuradhapura,December,Pumpkin,117,26.4,62,5.7,120,April,186.09
2015,Anuradhapura,January,Brinjal,209,31.3,88,5.7,130,May,272.22
2015,Anuradhapura,February,Brinjal,47,29.4,86,7,130,June,279.71
2015,Anuradhapura,March,Brinjal,78,26.1,76,6.1,130,July,244.78
2015,Anuradhapura,April,Brinjal,81,31.1,84,7.1,130,August,236.48
2015,Anuradhapura,May,Brinjal,289,31.3,62,6.5,130,September,187.08
2015,Anuradhapura,June,Brinjal,187,33,65,6.2,130,October,169.9
2015,Anuradhapura,July,Brinjal,91,25.8,79,7,130,November,163.29
2015,Anuradhapura,August,Brinjal,68,23.8,83,6.2,130,December,188.27
2015,Anuradhapura,September,Brinjal,250,27.4,71,5.8,130,January,167.45
2015,Anuradhapura,October,Brinjal,235,28.1,75,6.3,130,February,230.98
2015,Anuradhapura,November,Brinjal,158,26,76,6.3,130,March,241.52
2015,Anuradhapura,December,Brinjal,278,31.7,70,5.6,130,April,276.6
2015,Kurunegala,January,Paddy,193,28.3,87,6.7,120,May,225.3
2015,Kurunegala,February,Paddy,194,22.6,84,7,120,June,179.08
2015,Kurunegala,March,Paddy,235,27.4,78,7.2,120,July,203.97
2015,Kurunegala,April,Paddy,242,23.6,63,7,120,August,263.36
2015,Kurunegala,May,Paddy,186,30.1,74,6.5,120,September,211.51
2015,Kurunegala,June,Paddy,137,28.1,68,6.6,120,October,284.25
2015,Kurunegala,July,Paddy,60,24,88,5.6,120,November,213.16
2015,Kurunegala,August,Paddy,107,21.2,78,6.1,120,December,219.85
2015,Kurunegala,September,Paddy,142,21.7,83,6.4,120,January,285.58
2015,Kurunegala,October,Paddy,124,23.3,90,7.1,120,February,203.96
2015,Kurunegala,November,Paddy,213,30.5,89,7.1,120,March,183.58
2015,Kurunegala,December,Paddy,155,31.2,85,7.1,120,April,271.21
2015,Kurunegala,January,Tomato,227,21.2,85,5.5,90,April,235.83
2015,Kurunegala,February,Tomato,272,24.8,76,6.5,90,May,273.56
2015,Kurunegala,March,Tomato,230,21.4,74,6.3,90,June,246.78
2015,Kurunegala,April,Tomato,207,31.9,74,6.6,90,July,248.87
2015,Kurunegala,May,Tomato,277,31.8,79,6.6,90,August,180.4
2015,Kurunegala,June,Tomato,63,32.3,79,7.2,90,September,180.33
2015,Kurunegala,July,Tomato,160,31.5,68,6.2,90,October,213.97
2015,Kurunegala,August,Tomato,316,25.4,69,7,90,November,251.45
2015,Kurunegala,September,Tomato,290,28,77,5.6,90,December,213.91
2015,Kurunegala,October,Tomato,267,25.8,75,7,90,January,178.11
2015,Kurunegala,November,Tomato,228,27.1,82,5.6,90,February,201.42
2015,Kurunegala,December,Tomato,102,32.3,89,5.7,90,March,193
2015,Kurunegala,January,Chili,50,20.7,81,5.9,150,June,619.17
2015,Kurunegala,February,Chili,145,20.9,73,6.5,150,July,928.37
2015,Kurunegala,March,Chili,159,24.3,69,6.8,150,August,830.69
2015,Kurunegala,April,Chili,181,31.2,69,7.2,150,September,805.6
2015,Kurunegala,May,Chili,129,21.4,61,5.7,150,October,723.71
2015,Kurunegala,June,Chili,161,27.7,61,5.8,150,November,586.08
2015,Kurunegala,July,Chili,255,26.8,64,6.3,150,December,912.61
2015,Kurunegala,August,Chili,302,27.7,88,6.4,150,January,987.94
2015,Kurunegala,September,Chili,62,29.5,79,6.3,150,February,996.31
2015,Kurunegala,October,Chili,71,33,85,6.2,150,March,611.08
2015,Kurunegala,November,Chili,267,21,65,6,150,April,629.25
2015,Kurunegala,December,Chili,104,23.6,80,6.1,150,May,831.33
2015,Kurunegala,January,Big Onion,190,25.9,87,5.7,105,May,292.77
2015,Kurunegala,February,Big Onion,150,25.6,74,6.2,105,June,311.61
2015,Kurunegala,March,Big Onion,244,25.4,66,6,105,July,234.38
2015,Kurunegala,April,Big Onion,170,24.9,69,6.7,105,August,258.64
2015,Kurunegala,May,Big Onion,86,30.8,65,6.2,105,September,299.19
2015,Kurunegala,June,Big Onion,230,30.6,63,6.5,105,October,271.74
2015,Kurunegala,July,Big Onion,208,28.7,86,6.1,105,November,287.3
2015,Kurunegala,August,Big Onion,256,31.3,63,7.1,105,December,277.56
2015,Kurunegala,September,Big Onion,220,21.3,92,5.9,105,January,286.01
2015,Kurunegala,October,Big Onion,154,31,82,6.9,105,February,242.63
2015,Kurunegala,November,Big Onion,182,27.5,87,6.9,105,March,333.68
2015,Kurunegala,December,Big Onion,53,27.9,77,5.5,105,April,228.49
2015,Kurunegala,January,Red Onion,198,32,82,5.5,95,April,445.17
2015,Kurunegala,February,Red Onion,245,20.9,61,5.7,95,May,373.9
2015,Kurunegala,March,Red Onion,232,25.5,81,5.8,95,June,327.94
2015,Kurunegala,April,Red Onion,206,30.1,65,7,95,July,295.17
2015,Kurunegala,May,Red Onion,65,28.8,77,6.3,95,August,351.54
2015,Kurunegala,June,Red Onion,266,25.4,73,6.8,95,September,286.4
2015,Kurunegala,July,Red Onion,260,21.4,91,6.4,95,October,327.27
2015,Kurunegala,August,Red Onion,152,25.1,63,5.5,95,November,325.8
2015,Kurunegala,September,Red Onion,148,30,76,6,95,December,287.7
2015,Kurunegala,October,Red Onion,294,29.7,71,5.7,95,January,374.34
2015,Kurunegala,November,Red Onion,157,26.5,82,5.6,95,February,443.47
2015,Kurunegala,December,Red Onion,61,25.7,89,7.1,95,March,443.54
2015,Kurunegala,January,Potato,259,27.5,86,6,110,May,297.91
2015,Kurunegala,February,Potato,206,22.2,89,6.9,110,June,390.56
2015,Kurunegala,March,Potato,85,25.7,66,5.9,110,July,331
2015,Kurunegala,April,Potato,308,21,79,6.8,110,August,264.88
2015,Kurunegala,May,Potato,126,21,67,6.4,110,September,259.9
2015,Kurunegala,June,Potato,218,24.6,69,5.9,110,October,251.36
2015,Kurunegala,July,Potato,141,22.3,69,6.8,110,November,342.99
2015,Kurunegala,August,Potato,130,32.4,91,6.3,110,December,326.47
2015,Kurunegala,September,Potato,269,28.9,80,7,110,January,337.9
2015,Kurunegala,October,Potato,117,25.7,90,6.3,110,February,279.51
2015,Kurunegala,November,Potato,180,27.7,82,6.4,110,March,280.87
2015,Kurunegala,December,Potato,271,20.5,83,6.9,110,April,238.81
2015,Kurunegala,January,Beans,86,28,92,6.2,75,March,439.28
2015,Kurunegala,February,Beans,61,25.8,72,6,75,April,414.15
2015,Kurunegala,March,Beans,117,32.5,88,5.7,75,May,515.79
2015,Kurunegala,April,Beans,215,32.8,65,6.4,75,June,341.41
2015,Kurunegala,May,Beans,166,29.2,88,6.4,75,July,446.35
2015,Kurunegala,June,Beans,226,24.8,78,6.2,75,August,485.87
2015,Kurunegala,July,Beans,66,30.3,81,5.6,75,September,322.68
2015,Kurunegala,August,Beans,237,23.7,69,6.1,75,October,439.86
2015,Kurunegala,September,Beans,112,31.9,79,7.1,75,November,467.64
2015,Kurunegala,October,Beans,240,21.7,65,6,75,December,390.4
2015,Kurunegala,November,Beans,208,30.6,65,6.6,75,January,401.62
2015,Kurunegala,December,Beans,225,20.2,79,5.8,75,February,351.41
2015,Kurunegala,January,Carrot,288,22.5,68,5.8,95,April,306.07
2015,Kurunegala,February,Carrot,91,26.6,62,6.6,95,May,421.03
2015,Kurunegala,March,Carrot,107,27.8,69,5.8,95,June,412.11
2015,Kurunegala,April,Carrot,124,29.4,62,6.2,95,July,381.42
2015,Kurunegala,May,Carrot,161,32.6,78,6.8,95,August,402.69
2015,Kurunegala,June,Carrot,159,26.9,79,7.1,95,September,402.81
2015,Kurunegala,July,Carrot,139,24.8,88,6.3,95,October,303.29
2015,Kurunegala,August,Carrot,235,26.5,86,7.1,95,November,409.24
2015,Kurunegala,September,Carrot,110,31.3,63,6.6,95,December,420.58
2015,Kurunegala,October,Carrot,92,29.2,67,6,95,January,398.6
2015,Kurunegala,November,Carrot,179,25.8,92,5.8,95,February,334.12
2015,Kurunegala,December,Carrot,153,30.6,82,7.1,95,March,329.65
2015,Kurunegala,January,Cabbage,242,26.5,75,6.2,90,April,143.81
2015,Kurunegala,February,Cabbage,154,20.4,66,6.9,90,May,205.2
2015,Kurunegala,March,Cabbage,114,21.8,78,7.1,90,June,186.03
2015,Kurunegala,April,Cabbage,111,29.9,90,6.3,90,July,135.57
2015,Kurunegala,May,Cabbage,80,20.2,73,6.9,90,August,194.27
2015,Kurunegala,June,Cabbage,310,25.5,78,5.9,90,September,148.16
2015,Kurunegala,July,Cabbage,162,25.5,89,5.6,90,October,225.36
2015,Kurunegala,August,Cabbage,295,27.8,61,6.6,90,November,197.11
2015,Kurunegala,September,Cabbage,113,23.8,60,6.5,90,December,160.98
2015,Kurunegala,October,Cabbage,253,22.4,65,6.4,90,January,173.95
2015,Kurunegala,November,Cabbage,309,27.1,92,6.4,90,February,177.17
2015,Kurunegala,December,Cabbage,280,20.6,84,7.2,90,March,162.39
2015,Kurunegala,January,Green Gram,48,24.6,64,6.1,70,March,309.34
2015,Kurunegala,February,Green Gram,93,30,81,5.7,70,April,249.96
2015,Kurunegala,March,Green Gram,213,30.6,71,6.9,70,May,301.81
2015,Kurunegala,April,Green Gram,285,28.2,68,5.6,70,June,316.09
2015,Kurunegala,May,Green Gram,274,20.5,72,5.6,70,July,226.12
2015,Kurunegala,June,Green Gram,61,24.1,79,6.4,70,August,349.3
2015,Kurunegala,July,Green Gram,318,26.2,62,6.8,70,September,224.81
2015,Kurunegala,August,Green Gram,222,31.2,63,7,70,October,246.78
2015,Kurunegala,September,Green Gram,103,30.4,87,7,70,November,310.96
2015,Kurunegala,October,Green Gram,237,24.4,71,6.3,70,December,272.61
2015,Kurunegala,November,Green Gram,305,23.5,65,6.7,70,January,207.31
2015,Kurunegala,December,Green Gram,132,27.1,80,5.7,70,February,246.16
2015,Kurunegala,January,Cowpea,191,24,87,5.8,70,March,284.58
2015,Kurunegala,February,Cowpea,268,20.6,82,6.5,70,April,283.07
2015,Kurunegala,March,Cowpea,69,21,85,6.1,70,May,344.58
2015,Kurunegala,April,Cowpea,121,32.4,69,6.9,70,June,323.92
2015,Kurunegala,May,Cowpea,264,20.5,64,5.9,70,July,318.39
2015,Kurunegala,June,Cowpea,225,25,62,6.5,70,August,324.08
2015,Kurunegala,July,Cowpea,229,24.8,64,6.5,70,September,298.95
2015,Kurunegala,August,Cowpea,243,24.1,77,5.9,70,October,229.06
2015,Kurunegala,September,Cowpea,135,26.5,84,7.1,70,November,229.78
2015,Kurunegala,October,Cowpea,173,29.2,73,7.2,70,December,257.98
2015,Kurunegala,November,Cowpea,291,22.6,68,6.9,70,January,285.94
2015,Kurunegala,December,Cowpea,267,33,80,6.6,70,February,329.2
2015,Kurunegala,January,Groundnut,317,23.8,79,6.9,110,May,447.29
2015,Kurunegala,February,Groundnut,129,30.3,92,5.9,110,June,509.61
2015,Kurunegala,March,Groundnut,111,23.1,91,5.5,110,July,411.32
2015,Kurunegala,April,Groundnut,228,26.1,68,6.5,110,August,304.66
2015,Kurunegala,May,Groundnut,198,25.2,90,6.4,110,September,460.37
2015,Kurunegala,June,Groundnut,77,21.6,80,6.6,110,October,387.59
2015,Kurunegala,July,Groundnut,304,24.5,71,6.8,110,November,314.42
2015,Kurunegala,August,Groundnut,297,31.8,63,6.9,110,December,403.13
2015,Kurunegala,September,Groundnut,195,22.1,80,7.1,110,January,336.41
2015,Kurunegala,October,Groundnut,305,31.6,65,5.9,110,February,429.79
2015,Kurunegala,November,Groundnut,180,21.6,79,6.5,110,March,306.3
2015,Kurunegala,December,Groundnut,126,27.7,69,5.8,110,April,427.38
2015,Kurunegala,January,Maize,212,31,62,6.9,100,April,115.05
2015,Kurunegala,February,Maize,63,32.3,76,6.6,100,May,181.53
2015,Kurunegala,March,Maize,253,28,61,6.3,100,June,168.94
2015,Kurunegala,April,Maize,188,28.3,79,6.3,100,July,184.92
2015,Kurunegala,May,Maize,247,23.9,64,6.7,100,August,126.73
2015,Kurunegala,June,Maize,252,26.3,73,6.1,100,September,125.43
2015,Kurunegala,July,Maize,203,29.5,82,7.2,100,October,124.27
2015,Kurunegala,August,Maize,229,26.7,66,6,100,November,154.48
2015,Kurunegala,September,Maize,176,25.8,69,5.7,100,December,138.62
2015,Kurunegala,October,Maize,236,31.2,86,5.9,100,January,190.38
2015,Kurunegala,November,Maize,121,30.6,80,5.8,100,February,126.84
2015,Kurunegala,December,Maize,303,26.1,79,6.3,100,March,120.6
2015,Kurunegala,January,Pumpkin,241,26.6,75,5.9,120,May,134.64
2015,Kurunegala,February,Pumpkin,65,23.7,90,6,120,June,105.69
2015,Kurunegala,March,Pumpkin,95,25.6,76,6.7,120,July,169.16
2015,Kurunegala,April,Pumpkin,227,20.6,63,6.5,120,August,121.35
2015,Kurunegala,May,Pumpkin,187,21,92,6.3,120,September,151.19
2015,Kurunegala,June,Pumpkin,100,21.7,66,6.2,120,October,171.77
2015,Kurunegala,July,Pumpkin,213,27.3,83,6.8,120,November,121.72
2015,Kurunegala,August,Pumpkin,300,25.2,62,5.6,120,December,116.51
2015,Kurunegala,September,Pumpkin,210,30.5,89,5.8,120,January,180.02
2015,Kurunegala,October,Pumpkin,111,24.3,80,5.8,120,February,188.21
2015,Kurunegala,November,Pumpkin,193,27.7,92,6.9,120,March,149.72
2015,Kurunegala,December,Pumpkin,193,26.2,61,6.1,120,April,161.6
2015,Kurunegala,January,Brinjal,253,27.6,61,6.5,130,May,190.96
2015,Kurunegala,February,Brinjal,156,29.4,90,5.8,130,June,236.76
2015,Kurunegala,March,Brinjal,234,21.9,75,5.6,130,July,276.97
2015,Kurunegala,April,Brinjal,96,22.5,88,6,130,August,176.58
2015,Kurunegala,May,Brinjal,144,25.3,90,7,130,September,250.22
2015,Kurunegala,June,Brinjal,71,29.2,73,6.5,130,October,283.26
2015,Kurunegala,July,Brinjal,284,26.8,80,7.1,130,November,215.42
2015,Kurunegala,August,Brinjal,312,24.5,82,6.6,130,December,266.82
2015,Kurunegala,September,Brinjal,175,27.9,72,7.1,130,January,192.65
2015,Kurunegala,October,Brinjal,192,22.9,79,6.8,130,February,246.32
2015,Kurunegala,November,Brinjal,290,24.1,82,6.5,130,March,275.25
2015,Kurunegala,December,Brinjal,180,23.7,84,7,130,April,207.21
2015,Badulla,January,Paddy,216,32.4,69,6,120,May,202.97
2015,Badulla,February,Paddy,80,24.5,88,6.6,120,June,263.65
2015,Badulla,March,Paddy,149,22.6,77,7.1,120,July,256.89
2015,Badulla,April,Paddy,110,21.4,75,5.9,120,August,253.42
2015,Badulla,May,Paddy,311,22.9,74,5.6,120,September,219.56
2015,Badulla,June,Paddy,281,21.3,68,5.5,120,October,237.65
2015,Badulla,July,Paddy,120,25.3,90,6.3,120,November,191.33
2015,Badulla,August,Paddy,187,24.2,63,7,120,December,176.81
2015,Badulla,September,Paddy,158,27,62,7.1,120,January,188.11
2015,Badulla,October,Paddy,130,32.1,62,7.2,120,February,217.4
2015,Badulla,November,Paddy,293,22.4,78,7,120,March,166.22
2015,Badulla,December,Paddy,94,32.1,81,6,120,April,295.56
